parola1 parola2 lettera_aggiunta lettera_tolta lettera_cambiata
Perin Perino T F F
Marchetti Marchettin T F F
Paleari Paleargi T F F
Zima Zisma T F F
Zapata Zapatax T F F
Criscito KCriscito T F F
Goldaniga Goldanioga T F F
Biraschi Birraschi T F F
Ghiglione Ghiglionne T F F
Masiello MMasiello T F F
Zappacosta Zappacost F T F
Dumbravanu Dubravanu F T F
Czyborra Czybora F T F
Behrami Berami F T F
Zajc Zaj F T F
Portanova Poranova F T F
Strootman Strotman F T F
Radovanovic adovanovic F T F
Melegoni Meegoni F T F
Cassata Casata F T F
Badelj Badeli F F T
Rovella Rovilla F F T
Pellegrini Pallegrini F F T
Ebongue Ebangue F F T
Scamacca Scamucca F F T
Pandev Pancev F F T
Destro Destra F F T
Caso Coso F F T
Pjaca Piaca F F T
Shomurodov Showurodov F F T
